problem,steps,format,backend,wall_seconds,t_program,t_elem,t_divsqrt,t_gravity,calls,program_calls,divsqrt_calls,staged_bytes,passes
kepler,200,fp64,software,2.491,2.238,0.125,0.117,0.134,193530,9604,11957,26095384,3.430
kepler,200,fp64,card,24.092,1.955,18.633,3.121,14.397,193530,9604,11957,26095384,3.430
kepler,200,fp128,software,6.421,5.817,0.217,0.359,0.429,380080,23954,27332,105211968,8.555
kepler,200,fp128,card,46.761,4.902,35.471,5.705,33.525,380080,23954,27332,105211968,8.555
nbody64,20,fp64,software,19.941,1.592,5.850,12.448,17.983,51911,896,1184,688060432,3.200
nbody64,20,fp64,card,9.427,0.345,5.998,2.883,7.795,51911,896,1184,688060432,3.200
nbody64,20,fp128,software,65.793,4.490,18.170,43.002,60.789,110431,2226,2609,3258955504,7.950
nbody64,20,fp128,card,25.265,1.077,13.834,9.862,22.708,110431,2226,2609,3258955504,7.950
nbody256,5,fp64,software,93.059,1.809,28.094,62.949,89.922,108219,280,404,3202918368,4.000
nbody256,5,fp64,card,27.270,0.245,13.233,13.077,20.038,108219,280,404,3202918368,4.000
nbody256,5,fp128,software,237.183,3.950,65.457,167.369,231.395,143499,532,674,11895435552,7.600
nbody256,5,fp128,card,59.336,0.656,22.195,35.098,50.923,143499,532,674,11895435552,7.600
