members,format,mode,tiles,seconds,system_steps_per_s,vs_sw,record,lane_efficiency,passes
1,fp64,software,0,0.28,71.4,1.00,reference,,3.400
1,fp64,1t-f128,1,6.13,3.3,0.05,identical,,3.400
1,fp64,4t-full,4,10.20,2.0,0.03,identical,,3.400
1,fp64,6t-f128,6,12.00,1.7,0.02,identical,,3.400
1,fp128,software,0,0.70,28.6,1.00,reference,,8.150
1,fp128,1t-f128,1,8.17,2.4,0.09,identical,,8.150
1,fp128,4t-full,4,13.16,1.5,0.05,identical,,8.150
1,fp128,6t-f128,6,15.22,1.3,0.05,identical,,8.150
8,fp64,software,0,0.81,197.5,1.00,reference,0.965,3.475
8,fp64,1t-f128,1,6.07,26.4,0.13,identical,0.965,3.475
8,fp64,4t-full,4,12.30,13.0,0.07,identical,0.965,3.475
8,fp64,6t-f128,6,15.61,10.2,0.05,identical,0.965,3.475
8,fp128,software,0,1.87,85.6,1.00,reference,0.969,8.094
8,fp128,1t-f128,1,8.42,19.0,0.22,identical,0.969,8.094
8,fp128,4t-full,4,21.29,7.5,0.09,identical,0.969,8.094
8,fp128,6t-f128,6,24.45,6.5,0.08,identical,0.969,8.094
64,fp64,software,0,4.79,267.2,1.00,reference,0.897,3.497
64,fp64,1t-f128,1,6.97,183.6,0.69,identical,0.897,3.497
64,fp64,4t-full,4,15.64,81.8,0.31,identical,0.897,3.497
64,fp64,6t-f128,6,20.68,61.9,0.23,identical,0.897,3.497
64,fp128,software,0,12.35,103.6,1.00,reference,0.943,8.062
64,fp128,1t-f128,1,10.70,119.6,1.15,identical,0.943,8.062
64,fp128,4t-full,4,23.67,54.1,0.52,identical,0.943,8.062
64,fp128,6t-f128,6,31.29,40.9,0.39,identical,0.943,8.062
512,fp64,software,0,40.68,251.7,1.00,reference,0.823,3.497
512,fp64,1t-f128,1,12.07,848.4,3.37,identical,0.823,3.497
512,fp64,4t-full,4,21.63,473.4,1.88,identical,0.823,3.497
512,fp64,6t-f128,6,26.81,381.9,1.52,identical,0.823,3.497
512,fp128,software,0,93.60,109.4,1.00,reference,0.910,8.056
512,fp128,1t-f128,1,24.66,415.2,3.80,identical,0.910,8.056
512,fp128,4t-full,4,39.14,261.6,2.39,identical,0.910,8.056
512,fp128,6t-f128,6,48.28,212.1,1.94,identical,0.910,8.056
4096,fp64,software,0,350.89,233.5,1.00,reference,0.769,3.498
4096,fp64,1t-f128,1,58.40,1402.7,6.01,identical,0.769,3.498
4096,fp64,4t-full,4,70.37,1164.1,4.99,identical,0.769,3.498
4096,fp64,6t-f128,6,77.36,1058.9,4.54,identical,0.769,3.498
4096,fp128,software,0,764.49,107.2,1.00,reference,0.890,8.054
4096,fp128,1t-f128,1,145.58,562.7,5.25,identical,0.890,8.054
4096,fp128,4t-full,4,166.44,492.2,4.59,identical,0.890,8.054
4096,fp128,6t-f128,6,179.98,455.2,4.25,identical,0.890,8.054
