problem,steps,mode,format,seconds,steps_per_s,vs_ref,energy_drift,record,passes
kepler,200,ref,fp64,0.0036,55819.1616,1.0000,1.301043e-15,reference,-
kepler,200,sw-rebound-form,fp64,4.9204,40.6473,0.0007,1.301043e-15,identical,3.425
kepler,200,sw,fp64,2.7278,73.3179,0.0013,0.000000e+00,fma reference,3.430
kepler,200,1t-f128,fp64,27.5007,7.2725,0.0001,0.000000e+00,identical,3.430
kepler,200,4t-full,fp64,36.5019,5.4792,0.0001,0.000000e+00,identical,3.430
kepler,200,6t-f128,fp64,38.9711,5.1320,0.0001,0.000000e+00,identical,3.430
kepler,200,sw,fp128,7.0117,28.5239,0.0005,0.000000e+00,fma reference,8.555
kepler,200,1t-f128,fp128,49.9729,4.0022,0.0001,0.000000e+00,identical,8.555
kepler,200,4t-full,fp128,70.2004,2.8490,0.0001,0.000000e+00,identical,8.555
kepler,200,6t-f128,fp128,72.7036,2.7509,0.0000,0.000000e+00,identical,8.555
outer,100,ref,fp64,0.0047,21093.6243,1.0000,4.113090e-16,reference,-
outer,100,sw-rebound-form,fp64,5.3124,18.8240,0.0009,4.113090e-16,identical,3.050
outer,100,sw,fp64,2.4842,40.2550,0.0019,2.056545e-16,fma reference,3.030
outer,100,1t-f128,fp64,15.7089,6.3658,0.0003,2.056545e-16,identical,3.030
outer,100,4t-full,fp64,40.2262,2.4859,0.0001,2.056545e-16,identical,3.030
outer,100,6t-f128,fp64,49.5467,2.0183,0.0001,2.056545e-16,identical,3.030
outer,100,sw,fp128,7.7175,12.9576,0.0006,0.000000e+00,fma reference,8.420
outer,100,1t-f128,fp128,30.4122,3.2882,0.0002,0.000000e+00,identical,8.420
outer,100,4t-full,fp128,80.3878,1.2440,0.0001,0.000000e+00,identical,8.420
outer,100,6t-f128,fp128,95.3045,1.0493,0.0000,0.000000e+00,identical,8.420
pythagorean,100,ref,fp64,0.0031,32444.7260,1.0000,1.377658e-13,reference,-
pythagorean,100,sw-rebound-form,fp64,2.8804,34.7177,0.0011,1.377658e-13,identical,3.070
pythagorean,100,sw,fp64,1.4619,68.4030,0.0021,5.737933e-14,fma reference,3.080
pythagorean,100,1t-f128,fp64,14.7168,6.7949,0.0002,5.737933e-14,identical,3.080
pythagorean,100,4t-full,fp64,24.2763,4.1192,0.0001,5.737933e-14,identical,3.080
pythagorean,100,6t-f128,fp64,26.6088,3.7582,0.0001,5.737933e-14,identical,3.080
pythagorean,100,sw,fp128,3.4073,29.3486,0.0009,0.000000e+00,fma reference,7.360
pythagorean,100,1t-f128,fp128,26.1287,3.8272,0.0001,0.000000e+00,identical,7.360
pythagorean,100,4t-full,fp128,44.1097,2.2671,0.0001,0.000000e+00,identical,7.360
pythagorean,100,6t-f128,fp128,54.8128,1.8244,0.0001,0.000000e+00,identical,7.360
nbody64,20,ref,fp64,0.0169,1180.0719,1.0000,1.040831e-14,reference,-
nbody64,20,sw-rebound-form,fp64,26.4078,0.7574,0.0006,1.040831e-14,identical,3.300
nbody64,20,sw,fp64,19.9429,1.0029,0.0008,1.060105e-14,fma reference,3.200
nbody64,20,1t-f128,fp64,13.7537,1.4542,0.0012,1.060105e-14,identical,3.200
nbody64,20,4t-full,fp64,30.1680,0.6630,0.0006,1.060105e-14,identical,3.200
nbody64,20,6t-f128,fp64,39.5850,0.5052,0.0004,1.060105e-14,identical,3.200
nbody64,20,sw,fp128,65.2189,0.3067,0.0003,0.000000e+00,fma reference,7.950
nbody64,20,1t-f128,fp128,29.1841,0.6853,0.0006,0.000000e+00,identical,7.950
nbody64,20,4t-full,fp128,62.6535,0.3192,0.0003,0.000000e+00,identical,7.950
nbody64,20,6t-f128,fp128,81.9616,0.2440,0.0002,0.000000e+00,identical,7.950
nbody256,5,ref,fp64,0.0475,105.2495,1.0000,4.027782e-14,reference,-
nbody256,5,sw-rebound-form,fp64,94.8713,0.0527,0.0005,4.027782e-14,identical,3.800
nbody256,5,sw,fp64,92.9273,0.0538,0.0005,3.989422e-14,fma reference,4.000
nbody256,5,1t-f128,fp64,31.7965,0.1573,0.0015,3.989422e-14,identical,4.000
nbody256,5,4t-full,fp64,48.8920,0.1023,0.0010,3.989422e-14,identical,4.000
nbody256,5,6t-f128,fp64,57.4010,0.0871,0.0008,3.989422e-14,identical,4.000
nbody256,5,sw,fp128,238.2804,0.0210,0.0002,0.000000e+00,fma reference,7.600
nbody256,5,1t-f128,fp128,64.5292,0.0775,0.0007,0.000000e+00,identical,7.600
