step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
401,8.72798e-35,1.79051e-34
802,1.11118e-34,1.48683e-34
1203,3.45142e-35,1.75838e-34
1604,4.02043e-34,1.33435e-33
2005,9.54609e-35,6.57972e-34
2406,4.80896e-34,4.25602e-33
2807,4.4247e-35,1.86469e-33
3208,3.76958e-34,8.90327e-33
3609,3.58716e-34,3.87526e-33
4010,2.17032e-34,1.62531e-32
4411,2.73703e-34,6.19486e-33
4812,2.26206e-34,2.25376e-32
5213,1.16394e-34,8.33576e-33
5614,1.00364e-34,2.95962e-32
6015,1.70904e-34,1.06234e-32
6416,7.62894e-35,3.35045e-32
6817,3.0966e-35,1.22853e-32
7218,1.79936e-34,3.75592e-32
7619,9.77173e-35,1.35072e-32
8020,3.98087e-34,4.07816e-32
8038,5.64e-35,4.42323e-32
