step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
628,0.0,0.0
1256,0.0,0.0
1884,0.0,0.0
2512,0.0,0.0
3140,0.0,0.0
3768,0.0,0.0
4396,0.0,0.0
5024,0.0,0.0
5652,0.0,0.0
6280,0.0,0.0
6908,0.0,0.0
7536,0.0,0.0
8164,0.0,0.0
8792,0.0,0.0
9420,0.0,0.0
10048,0.0,0.0
10676,0.0,0.0
11304,0.0,0.0
11932,0.0,0.0
12560,0.0,0.0
13188,0.0,0.0
13816,0.0,0.0
14444,0.0,0.0
15072,0.0,0.0
15700,0.0,0.0
16328,0.0,0.0
16956,0.0,0.0
17584,0.0,0.0
18212,0.0,0.0
18840,0.0,0.0
19468,0.0,0.0
20096,0.0,0.0
20724,0.0,0.0
21352,0.0,0.0
21980,0.0,0.0
22608,0.0,0.0
23236,0.0,0.0
23864,0.0,0.0
24492,0.0,0.0
25120,0.0,0.0
