step,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0
365,3.74068e-35,6.39505e-35
730,2.33927e-35,1.06897e-34
1095,2.06451e-35,3.54744e-34
1460,1.97049e-34,1.77075e-34
1825,1.43157e-34,1.48053e-33
2190,2.29566e-34,2.01964e-33
2555,2.17328e-34,3.48338e-33
2920,2.78e-34,4.99233e-33
3285,3.62792e-34,7.3829e-33
3650,6.08593e-34,1.04389e-32
4015,5.6833e-34,1.38148e-32
4380,6.19622e-34,1.5704e-32
4745,4.63312e-34,1.97592e-32
5110,5.16008e-34,2.23858e-32
5475,3.16742e-34,2.20541e-32
5840,2.29163e-34,2.93513e-32
6205,2.57214e-34,2.48142e-32
6570,1.19215e-34,3.1304e-32
6935,3.03192e-34,2.91258e-32
7300,4.26158e-34,3.47329e-32
7665,3.59463e-34,3.00667e-32
8030,2.57435e-34,4.19739e-32
8395,5.11435e-34,3.02759e-32
8760,4.69992e-34,4.98238e-32
9125,4.4081e-34,3.50111e-32
9490,5.28565e-34,5.25032e-32
9855,4.72985e-34,4.67243e-32
10220,6.34301e-34,5.80634e-32
10585,4.75026e-34,5.53004e-32
10950,5.04015e-34,6.7124e-32
10958,5.46785e-34,6.38619e-32
