sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,200,3.95828211366,24.858194026944821168,9.40899e-21,4.9276e-24,2.33727e-19,4.60125e-19,2.32766e-20
2,400,7.91346743304,49.696940043141326149,1.895e-20,9.182e-24,8.76333e-19,1.27836e-18,1.03506e-19
3,600,11.8477633722,74.4044997889628031,2.84362e-20,1.30146e-23,1.60278e-18,1.67862e-18,2.40766e-19
4,800,15.7334329519,98.806683757782423968,3.77433e-20,1.73357e-23,2.0971e-18,1.68649e-18,4.33421e-19
5,1000,19.4730327448,122.29154273548770499,4.48183e-20,2.12882e-23,2.36253e-18,1.81087e-18,6.48545e-19
6,1200,23.268144886,146.12502181872478609,5.42629e-20,2.54802e-23,4.38024e-18,3.64935e-18,9.08532e-19
7,1400,27.1632276077,170.58632075270303205,6.37349e-20,2.93062e-23,8.0183e-18,8.27203e-18,1.24854e-18
8,1600,31.0984200613,195.29951065038239328,7.3046e-20,3.36181e-23,1.33416e-17,1.83737e-17,1.65067e-18
9,1800,35.0529797207,220.13432749351632976,8.2341e-20,3.855e-23,2.0373e-17,3.75419e-17,2.11149e-18
10,2000,39.0167411659,245.0269319743933494,9.17875e-20,4.33441e-23,2.81851e-17,6.33049e-17,2.63003e-18
11,2200,42.9830379114,269.93545825863168176,1.01334e-19,4.74568e-23,3.43449e-17,7.70286e-17,3.20601e-18
12,2400,46.945241384,294.81827860053950645,1.10787e-19,5.13211e-23,3.68019e-17,6.68377e-17,3.83955e-18
13,2600,50.8953944149,319.62542161351190902,1.20084e-19,5.57436e-23,3.57605e-17,4.72748e-17,4.53077e-18
14,2800,54.818484601,344.26260871390798587,1.29393e-19,6.07284e-23,3.20173e-17,3.08432e-17,5.27854e-18
15,3000,58.674513271,368.47864640407306206,1.38754e-19,6.56498e-23,2.59891e-17,2.03065e-17,6.06633e-18
16,3200,62.3877422873,391.79789569006553901,1.46109e-19,6.76067e-23,2.63452e-17,2.04136e-17,6.76672e-18
17,3400,66.2277629504,415.91340235909350748,1.55369e-19,7.2129e-23,4.04802e-17,3.54141e-17,7.6047e-18
18,3600,70.1392997883,440.47803390120592511,1.64689e-19,7.71071e-23,5.94521e-17,6.67465e-17,8.54712e-18
19,3800,74.0822967309,465.24023634978646323,1.7417e-19,8.1752e-23,8.22702e-17,1.24648e-16,9.55626e-18
20,4000,78.0406516473,490.09888758079837249,1.83714e-19,8.5719e-23,1.07064e-16,2.13472e-16,1.06255e-17
21,4200,82.0059113938,515.0009014636826212,1.93129e-19,8.96433e-23,1.27549e-16,2.93562e-16,1.17535e-17
22,4400,85.971619998,539.90573419327048544,2.02409e-19,9.42409e-23,1.35229e-16,2.88874e-16,1.294e-17
23,4600,89.9309987316,564.77081504382869901,2.11745e-19,9.92447e-23,1.28699e-16,2.12331e-16,1.41847e-17
