step,t,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0,0.0
200,6.30333390835746229,9.50208e-15,1.24394e-11
400,14.8170717243620739,1.54828e-14,1.20913e-12
600,25.0994587572004231,2.16416e-14,1.90759e-10
800,31.4006347969727791,3.69862e-14,9.03662e-10
1000,37.7137898266562365,3.88335e-14,3.11274e-10
1200,47.8213993117668912,3.82444e-14,3.60407e-11
1400,56.5064748811917366,4.94521e-14,9.46468e-10
1600,62.8012763865341405,5.32969e-14,2.84805e-9
1800,69.1290115436751707,6.41573e-14,8.98647e-10
2000,80.3373158882195621,5.90962e-14,2.37426e-10
2200,87.9111869404231669,5.95483e-14,2.44844e-9
2400,94.2019903970154637,5.58858e-14,4.7779e-9
2600,100.551320593029345,6.8363e-14,1.51191e-9
2800,112.271088805999667,6.91949e-14,6.11842e-10
3000,119.314403221601478,7.5861e-14,4.52059e-9
3200,125.602825712649295,7.00697e-14,6.1113e-9
3400,131.984227875573714,8.01373e-14,2.03347e-9
3600,143.967283178209835,8.39073e-14,1.2124e-9
3800,150.716645753618824,1.00707e-13,7.35499e-9
4000,157.003851726662853,1.03075e-13,8.75368e-9
4200,163.433101373370726,1.00145e-13,2.56117e-9
4400,175.543101022364454,1.15876e-13,2.20114e-9
4600,182.118253621142976,1.25094e-13,1.14142e-8
4800,188.405164654309408,1.23722e-13,1.16874e-8
5000,194.906273688956246,1.09077e-13,3.04669e-9
5200,207.051145741712966,1.03597e-13,3.61465e-9
5400,213.519448732594234,1.01249e-13,1.55961e-8
5600,219.806901479595707,9.28611e-14,1.38198e-8
5800,226.416969117731903,8.04976e-14,3.17557e-9
6000,238.518941161870855,7.51442e-14,5.18735e-9
6200,244.920378266559639,4.01844e-14,2.17703e-8
6400,251.209260769191754,4.73365e-14,1.43427e-8
6600,257.986886620584963,4.95525e-14,2.88634e-9
6800,269.962085829317856,4.80456e-14,6.67456e-9
7000,276.321142239164008,5.93707e-14,3.00214e-8
7200,282.612532988108008,5.04226e-14,1.40161e-8
7400,289.653561707247306,5.0321e-14,2.4389e-9
7600,301.389837716193669,5.9712e-14,8.50739e-9
7800,307.721809327516859,8.24038e-14,3.96e-8
8000,314.017145322387321,4.15996e-14,1.36365e-8
8200,321.487984381924812,2.96341e-14,1.86654e-9
8400,332.807852071283347,5.36389e-14,1.05878e-8
8600,339.122423167244414,4.35779e-14,4.61491e-8
8800,345.42372865659054,4.20444e-14,1.28972e-8
9000,353.647034783621455,4.52448e-14,1.05723e-9
9200,364.219650012023011,4.4423e-14,1.30116e-8
9400,370.523022712078204,5.26617e-14,4.71242e-8
9600,376.833218310887046,5.75103e-14,1.2124e-8
9800,386.488724778475737,6.33245e-14,2.56608e-10
10000,395.627452629476386,7.00093e-14,1.60609e-8
10200,401.923651122368784,6.96003e-14,4.39304e-8
10400,408.247007353521855,8.18198e-14,1.16153e-8
10600,419.249365710013161,9.56351e-14,1.88545e-9
10800,427.032674203038521,1.05918e-13,2.0262e-8
11000,433.32434230074716,1.46984e-13,3.98424e-8
11200,439.667182315833761,1.17601e-13,1.14428e-8
11400,451.284584844125431,1.26508e-13,3.52182e-9
11600,458.43622168585157,1.23691e-13,2.59182e-8
11800,464.725140076077379,1.217e-13,3.56536e-8
12000,471.096891362862209,1.12811e-13,1.11912e-8
12200,483.02710134539823,1.12186e-13,5.36243e-9
12400,489.838680002292148,1.10309e-13,3.19967e-8
12600,496.126108235177691,1.01055e-13,3.72229e-8
12800,502.540932561974259,1.01834e-13,1.06263e-8
13000,514.627761605985281,1.18289e-13,7.48582e-9
13200,521.240428495685464,1.18731e-13,3.81873e-8
13400,527.527334898293497,1.12081e-13,3.8789e-8
13600,534.006720324985652,1.11954e-13,9.92913e-9
13800,546.150177746417984,1.16699e-13,1.00589e-8
14000,552.641714848100127,1.08177e-13,4.40238e-8
14200,558.92894468696423,1.05029e-13,3.90995e-8
14400,565.505943719186704,9.84795e-14,9.04157e-9
14600,577.626637541304406,8.81144e-14,1.30036e-8
14800,584.042702611133826,7.76658e-14,5.28624e-8
15000,590.331117599453527,9.44753e-14,3.81227e-8
15200,597.057588986308141,9.54975e-14,7.89774e-9
15400,609.075137808162697,9.9124e-14,1.64011e-8
15600,615.4435021182485,1.21474e-13,7.21765e-8
15800,621.734116449480483,1.13907e-13,3.67394e-8
16000,628.693963807870675,1.18839e-13,6.66372e-9
16200,640.506254219291667,1.26195e-13,2.06794e-8
16400,646.844189425329022,1.13393e-13,9.55763e-8
16600,653.138327280908465,1.32174e-13,3.54704e-8
16800,660.474466396997509,1.29728e-13,5.25566e-9
17000,671.926405875841307,1.25127e-13,2.59439e-8
17200,678.244813813037653,1.40994e-13,1.16211e-7
17400,684.544319638019575,1.07115e-13,3.39572e-8
17600,692.524117084546681,1.02043e-13,3.36916e-9
17800,703.339572395339217,1.1404e-13,3.19406e-8
18000,709.645412706644332,1.43698e-13,1.22758e-7
18200,715.952937006530239,1.50572e-13,3.19563e-8
18400,725.152204393645182,1.52201e-13,6.52598e-10
18600,734.748256616562656,1.46936e-13,3.94119e-8
18800,741.046030062977121,1.60498e-13,1.16491e-7
19000,747.365434062080195,1.56172e-13,3.02526e-8
19200,758.113697793866907,1.48504e-13,3.77765e-9
19400,766.154048727238435,1.47533e-13,4.81578e-8
19600,772.446701385859343,1.39758e-13,1.02345e-7
19800,778.783687056272184,1.69386e-13,2.83732e-8
20000,790.279414586238181,1.67142e-13,7.44051e-9
