sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,6.66199e-125,1.24398e-60,7.52371e-127
1,200,1.00370822751,6.3033339083574622933,9.50205e-15,2.27729e-16,1.28658e-13,2.16293e-12,5.26057e-15
2,400,2.35938901755,14.817071724362073921,1.54827e-14,1.38923e-16,1.56843e-14,4.59906e-14,8.60439e-15
3,600,3.99669978252,25.099458757200423108,2.16415e-14,6.80686e-17,1.98063e-12,3.75348e-11,7.75264e-14
4,800,5.0000644029,31.400634796972779054,3.69861e-14,1.97317e-16,9.37432e-12,5.94639e-9,1.09892e-13
5,1000,6.00533649176,37.713789826656236494,3.88334e-14,1.20573e-17,3.1886e-12,3.69817e-11,1.49427e-13
6,1200,7.61481664118,47.821399311766891164,3.82442e-14,4.76842e-17,3.7499e-13,4.18398e-13,3.00292e-13
7,1400,8.99778031284,56.506474881191736621,4.94519e-14,4.22046e-16,9.98491e-12,2.87045e-10,3.36824e-13
8,1600,10.0001298874,62.801276386534140488,5.32967e-14,1.65215e-16,3.22105e-11,1.58472e-8,4.11247e-13
9,1800,11.0077236356,69.129011543675170724,6.41571e-14,2.24968e-16,9.13789e-12,7.33842e-11,4.92268e-13
10,2000,12.7924723814,80.33731588821956214,5.90959e-14,4.1922e-16,2.38051e-12,1.78164e-12,6.86511e-13
11,2200,13.9984939566,87.911186940423166903,5.9548e-14,1.08443e-16,2.64021e-11,1.15176e-9,7.69411e-13
12,2400,15.0002069038,94.201990397015463661,5.58855e-14,7.02663e-17,6.03626e-11,2.14726e-8,8.59544e-13
13,2600,16.0112393272,100.55132059302934507,6.83626e-14,1.93446e-17,1.5288e-11,8.54002e-11,9.50505e-13
14,2800,17.8774307667,112.2710888059996666,6.91946e-14,1.55641e-16,6.11404e-12,5.25517e-12,1.15848e-12
15,3000,18.9989694208,119.31440322160147809,7.58606e-14,2.03525e-16,5.02516e-11,3.32346e-9,1.26787e-12
16,3200,20.0003032362,125.60282571264929532,7.00693e-14,2.34943e-16,8.55699e-11,2.14076e-8,1.37212e-12
17,3400,21.0164426233,131.9842278755737138,8.01369e-14,3.18596e-16,2.04749e-11,8.00743e-11,1.4771e-12
18,3600,22.924558451,143.96728317820983515,8.39068e-14,2.53174e-16,1.21134e-11,1.36851e-11,1.72498e-12
19,3800,23.9992898306,150.71664575361882425,1.00707e-13,1.09507e-16,8.53424e-11,8.53578e-9,1.86834e-12
20,4000,25.0004299344,157.00385172666285322,1.03075e-13,1.68944e-16,1.11201e-10,1.93331e-8,2.01685e-12
21,4200,26.0241882916,163.43310137337072637,1.00145e-13,1.06869e-16,2.57067e-11,7.10327e-11,2.16801e-12
22,4400,27.9525180389,175.5431010223644542,1.15875e-13,1.00029e-18,2.20165e-11,3.47e-11,2.49245e-12
23,4600,28.9995091799,182.11825362114297596,1.25093e-13,5.74072e-17,1.40903e-10,2.1212e-8,2.68355e-12
24,4800,30.0006023191,188.40516465430940755,1.23721e-13,1.75295e-16,1.39009e-10,1.6697e-8,2.85889e-12
25,5000,31.0358031701,194.906273688956246,1.09077e-13,3.08571e-16,3.05095e-11,6.03572e-11,3.04043e-12
26,5200,32.9696858072,207.05114574171296593,1.03597e-13,7.64059e-16,3.62292e-11,8.23001e-11,3.35937e-12
27,5400,33.9996628042,213.51944873259423378,1.01248e-13,5.83549e-16,2.11211e-10,4.7454e-8,3.51211e-12
28,5600,35.0008422029,219.80690147959570718,9.28603e-14,4.79114e-16,1.56927e-10,1.2983e-8,3.66608e-12
29,5800,36.0533930227,226.41696911773190259,8.04968e-14,3.93126e-16,3.17508e-11,4.58643e-11,3.79922e-12
30,6000,37.9804444984,238.51894116187085538,7.51434e-14,2.35759e-16,5.21508e-11,1.74073e-10,4.03241e-12
31,6200,38.9997741394,244.92037826655963906,4.01836e-14,6.54147e-16,2.82189e-10,9.31369e-8,4.12099e-12
32,6400,40.0011812045,251.20926076919175435,4.73356e-14,3.22121e-16,1.57502e-10,8.96172e-9,4.18568e-12
33,6600,41.0804130728,257.98688662058496312,4.95516e-14,2.03196e-16,2.88361e-11,3.13849e-11,4.24976e-12
34,6800,42.9872779393,269.96208582931785599,4.80447e-14,5.48302e-17,6.7389e-11,3.34635e-10,4.39571e-12
35,7000,43.9998591115,276.32114223916400756,5.93697e-14,3.27198e-16,3.45025e-10,1.61936e-7,4.47541e-12
36,7200,45.001665576,282.61253298810800819,5.04216e-14,5.1696e-16,1.5017e-10,5.87378e-9,4.54614e-12
37,7400,46.1228402683,289.65356170724730621,5.032e-14,1.54772e-16,2.43723e-11,2.11243e-11,4.62492e-12
38,7600,47.9916603185,301.38983771619366897,5.9711e-14,8.84515e-17,8.63971e-11,6.43513e-10,4.7918e-12
39,7800,48.9999286563,307.72180932751685905,8.24027e-14,1.49547e-16,4.13982e-10,2.56692e-7,4.89019e-12
40,8000,50.0023633401,314.01714532238732093,4.15985e-14,7.19522e-17,1.43445e-10,3.85836e-9,4.95424e-12
41,8200,51.1919786674,321.48798438192481164,2.9633e-14,3.71167e-16,1.87032e-11,1.44324e-11,5.00824e-12
42,8400,52.9944921466,332.80785207128334729,5.36377e-14,8.58288e-17,1.08382e-10,1.21747e-9,5.13965e-12
43,8600,53.9999897221,339.122423167244414,4.35767e-14,5.61775e-16,4.61509e-10,3.26147e-7,5.21743e-12
44,8800,55.0033749553,345.42372865659054043,4.20432e-14,5.21933e-16,1.33808e-10,2.47779e-9,5.28166e-12
45,9000,56.3128090004,353.64703478362145462,4.52436e-14,3.61575e-16,1.07794e-11,1.02563e-11,5.32776e-12
46,9200,57.9963341071,364.21965001202301107,4.44217e-14,2.63323e-16,1.34636e-10,2.28887e-9,5.48141e-12
47,9400,59.0000485116,370.5230227120782042,5.26604e-14,7.01913e-16,4.81324e-10,3.19599e-7,5.55647e-12
48,9600,60.004849357,376.83321831088704649,5.7509e-14,8.03078e-16,1.2448e-10,1.58996e-9,5.62768e-12
49,9800,61.5423391082,386.48872477847573701,6.33232e-14,6.36415e-16,3.61952e-12,9.21932e-12,5.90842e-12
50,10000,62.9975398744,395.62745262947638601,7.00079e-14,7.82529e-16,1.68648e-10,4.34767e-9,5.91313e-12
51,10200,64.0001118976,401.92365112236878416,6.95989e-14,6.49781e-16,4.8417e-10,2.56981e-7,6.02596e-12
52,10400,65.0070083696,408.24700735352185523,8.18184e-14,5.70926e-16,1.18315e-10,1.04543e-9,6.14361e-12
53,10600,66.7589634088,419.24936571001316067,9.56337e-14,4.3187e-16,1.89658e-11,1.49362e-11,6.42919e-12
54,10800,67.9983346503,427.03267420303852083,1.05916e-13,5.6041e-16,2.17089e-10,8.4925e-9,6.57167e-12
55,11000,69.0001852783,433.32434230074715988,1.46983e-13,3.72283e-16,4.88343e-10,1.89793e-7,6.7496e-12
56,11200,70.010184241,439.66718231583376075,1.17599e-13,2.88168e-16,1.15859e-10,7.11147e-10,6.93526e-12
57,11400,71.8600755318,451.28458484412543051,1.26506e-13,6.7052e-16,3.52077e-11,2.8879e-11,7.30653e-12
58,11600,72.9988628533,458.4362216858515704,1.2369e-13,5.66518e-16,2.8554e-10,1.69411e-8,7.47937e-12
59,11800,74.000275633,464.72514007607737903,1.21699e-13,5.9948e-16,4.92208e-10,1.35214e-7,7.64713e-12
60,12000,75.0148782676,471.09689136286220868,1.1281e-13,5.2861e-16,1.12796e-10,4.83769e-10,7.8221e-12
61,12200,76.9145792972,483.02710134539823041,1.12185e-13,1.60166e-16,5.35713e-11,5.6075e-11,8.16193e-12
62,12400,77.9992176234,489.83868000229214771,1.10307e-13,3.29967e-16,3.66573e-10,3.29178e-8,8.32653e-12
63,12600,79.0003931186,496.12610823517769138,1.01054e-13,2.2406e-16,4.83235e-10,9.24663e-8,8.48424e-12
64,12800,80.0218544673,502.54093256197425889,1.01832e-13,3.28579e-16,1.06736e-10,3.22533e-10,8.63399e-12
65,13000,81.9464946549,514.62776160598528073,1.18288e-13,1.91678e-17,7.48463e-11,1.07828e-10,8.96488e-12
66,13200,82.9994593652,521.24042849568546382,1.1873e-13,2.14992e-16,4.62741e-10,6.26397e-8,9.13724e-12
67,13400,84.0005517671,527.52733489829349746,1.12079e-13,2.57053e-16,4.68306e-10,6.19827e-8,9.3182e-12
68,13600,85.0322934702,534.00672032498565235,1.11953e-13,2.33487e-16,9.94824e-11,2.14352e-10,9.47849e-12
69,13800,86.9659508492,546.15017774641798425,1.16697e-13,9.52445e-17,1.00755e-10,2.07628e-10,9.82254e-12
70,14000,87.9996275182,552.64171484810012719,1.08176e-13,1.65067e-16,5.79635e-10,1.17421e-7,9.98211e-12
71,14200,89.0007714223,558.92894468696422955,1.05027e-13,1.71283e-16,4.48742e-10,4.09339e-8,1.01384e-11
72,14400,90.0480565791,565.50594371918670426,9.84775e-14,2.12621e-17,9.04317e-11,1.41421e-10,1.02953e-11
73,14600,91.9780892078,577.62663754130440564,8.81124e-14,4.11997e-16,1.30613e-10,3.93724e-10,1.05765e-11
74,14800,92.9997481255,584.04270261113382567,7.76638e-14,2.03025e-16,7.08717e-10,2.12005e-7,1.06988e-11
75,15000,94.0010807462,590.33111759945352727,9.44733e-14,9.68294e-17,4.21901e-10,2.64757e-8,1.08392e-11
76,15200,95.0721670588,597.05758898630814097,9.54955e-14,7.5927e-17,7.89122e-11,9.2088e-11,1.09774e-11
77,15400,96.9857754449,609.07513780816269735,9.91219e-14,7.05593e-17,1.65384e-10,7.39572e-10,1.12684e-11
78,15600,97.9998387559,615.44350211824849975,1.21472e-13,1.71074e-16,8.54542e-10,3.67564e-7,1.14147e-11
79,15800,99.0015215879,621.73411644948048334,1.13905e-13,2.10175e-16,3.95896e-10,1.7079e-8,1.15822e-11
80,16000,100.109769407,628.69396380787067494,1.18837e-13,1.60262e-16,6.65771e-11,6.07792e-11,1.17543e-11
81,16200,101.990693572,640.50625421929166714,1.26193e-13,7.91612e-17,2.09651e-10,1.40365e-9,1.2124e-11
82,16400,102.99991152,646.84418942532902186,1.13391e-13,2.89487e-16,1.02036e-9,5.94739e-7,1.23061e-11
83,16600,104.002155419,653.13832728090846481,1.32172e-13,3.20993e-16,3.74725e-10,1.11149e-8,1.25019e-11
84,16800,105.170321868,660.47446639699750894,1.29726e-13,3.93702e-16,5.26022e-11,4.11654e-11,1.26932e-11
85,17000,106.993865733,671.92640587584130725,1.25125e-13,2.93081e-17,2.64958e-10,2.67213e-9,1.30842e-11
86,17200,107.999974266,678.24481381303765321,1.40992e-13,1.5356e-16,1.16847e-9,8.12645e-7,1.3281e-11
87,17400,109.00307293,684.54431963801957538,1.07113e-13,2.28615e-16,3.53447e-10,7.21482e-9,1.34701e-11
88,17600,110.273731992,692.5241170845466814,1.0204e-13,2.68448e-16,3.4049e-11,2.88008e-11,1.36028e-11
89,17800,111.995925618,703.33957239533921673,1.14037e-13,8.79795e-17,3.29463e-10,5.02478e-9,1.39544e-11
90,18000,113.000032951,709.64541270664433151,1.43696e-13,5.01181e-17,1.2393e-9,8.5169e-7,1.41424e-11
91,18200,114.004408434,715.95293700653023877,1.5057e-13,5.5396e-17,3.28908e-10,4.62831e-9,1.4348e-11
92,18400,115.469249183,725.15220439364518202,1.52198e-13,1.70372e-16,7.75519e-12,2.33752e-11,1.43652e-11
93,18600,116.997271767,734.74825661656265556,1.46934e-13,2.48705e-16,4.12072e-10,9.52644e-9,1.50196e-11
94,18800,118.000094577,741.04603006297712055,1.60495e-13,1.86461e-16,1.25365e-9,7.13692e-7,1.52398e-11
95,19000,119.006361718,747.36543406208019497,1.5617e-13,7.1748e-17,3.08733e-10,3.00275e-9,1.54563e-11
96,19200,120.717856126,758.11369779386690699,1.48502e-13,1.78247e-16,3.822e-11,3.26703e-11,1.59562e-11
97,19400,121.998157392,766.15404872723843527,1.4753e-13,2.21982e-16,5.12931e-10,1.79933e-8,1.61316e-11
98,19600,123.000164796,772.44670138585934263,1.39755e-13,1.78513e-16,1.218e-9,5.16025e-7,1.63527e-11
99,19800,124.009231545,778.78368705627218371,1.69384e-13,4.15828e-16,2.87687e-10,1.9413e-9,1.65854e-11
100,20000,125.839747979,790.279414586238181,1.67139e-13,1.91651e-16,7.44344e-11,5.87279e-11,1.71009e-11
