sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,100000,1953.060246,12265.308319951514332,1.84336e-15,2.41514e-15,9.23008e-11,1.61577e-10,9.82844e-12
2,200000,3906.16620614,24530.903726804817657,9.15787e-15,5.34285e-15,1.23302e-10,1.24901e-10,1.93712e-11
3,300000,5859.44215529,36797.566672470630405,9.81338e-16,3.46525e-15,1.55566e-10,1.19828e-10,4.21186e-11
4,400000,7812.82575206,49064.90565009768317,1.41373e-14,2.14934e-15,1.68367e-10,1.66617e-10,2.71806e-11
5,500000,9765.94234486,61330.567830573319578,9.46857e-16,1.18926e-15,5.7942e-11,1.0361e-10,6.13125e-12
6,600000,11719.0096438,73595.920443434950146,5.99008e-15,2.60159e-15,8.66236e-12,2.00416e-11,8.10285e-13
7,700000,13672.080821,85861.297411813636446,9.92856e-15,3.87633e-15,1.93447e-10,2.96214e-10,2.2396e-11
8,800000,15625.2089793,98127.032223703160326,7.40852e-15,5.89067e-15,2.03167e-10,1.84066e-10,3.63651e-11
9,900000,17578.59434,110394.38227917578979,2.06738e-14,8.8417e-15,2.94294e-10,2.26584e-10,7.70328e-11
10,1000000,19531.8649263,122661.01154619862672,1.28763e-14,5.581e-15,9.46003e-10,1.07836e-9,1.33983e-10
11,1100000,21484.9612467,134926.5464146331647,1.30774e-14,8.24731e-15,1.75961e-9,3.54797e-9,1.73601e-10
12,1200000,23438.0255424,147191.8801672609426,2.10109e-14,8.03269e-15,2.515e-9,5.44929e-9,2.39027e-10
13,1300000,25391.1045853,159457.30653236413598,2.86272e-14,8.83327e-15,2.4264e-9,3.2148e-9,3.07439e-10
14,1400000,27344.2642235,171723.23904014182124,2.03967e-14,7.74377e-15,1.78121e-9,1.47156e-9,3.66064e-10
15,1500000,29297.7042198,183990.93220917776315,3.23025e-14,6.66821e-15,1.91848e-9,1.53782e-9,4.22592e-10
16,1600000,31250.8959035,196257.06596389529632,2.6955e-14,5.76934e-15,4.07992e-9,5.42075e-9,5.16038e-10
17,1700000,33203.9783476,208522.5136892009221,2.42319e-14,5.80636e-15,6.32484e-9,1.39411e-8,5.95869e-10
18,1800000,35157.0423455,220787.84557129340554,2.83216e-14,7.56874e-15,6.87825e-9,1.35634e-8,6.86607e-10
19,1900000,37110.1327655,233053.34338503986652,2.28199e-14,6.17295e-15,5.50403e-9,6.33841e-9,7.73318e-10
20,2000000,39063.3384968,245319.5653596331119,2.20396e-14,5.84454e-15,3.51026e-9,2.74461e-9,8.37693e-10
21,2100000,41016.7755329,257587.23993883271855,1.81431e-14,5.13849e-15,4.79549e-9,4.20387e-9,8.93285e-10
22,2200000,42969.9212958,269853.08530866959366,2.66721e-14,5.01408e-15,8.39209e-9,1.29992e-8,9.61436e-10
