sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,100000,995.215629244,6250.0,3.05871e-15,1.2761e-15,1.73136e-11,1.54381e-11,3.1493e-12
2,200000,1990.43125849,12500.0,2.1458e-15,8.86971e-16,1.81543e-11,1.39982e-11,4.87735e-12
3,300000,2985.64688773,18750.0,3.45841e-15,1.75806e-15,1.54931e-12,1.1847e-12,3.74591e-13
4,400000,3980.86251698,25000.0,4.70456e-15,2.55009e-15,7.55678e-11,8.52848e-11,1.07966e-11
5,500000,4976.07814622,31250.0,1.00002e-14,2.90261e-15,2.05682e-10,3.19681e-10,2.35058e-11
6,600000,5971.29377546,37500.0,7.40793e-15,2.29437e-15,1.63148e-10,1.30958e-10,3.57819e-11
7,700000,6966.50940471,43750.0,9.26167e-15,3.3392e-15,1.62787e-10,1.25201e-10,4.48615e-11
8,800000,7961.72503395,50000.0,1.20773e-14,3.80747e-15,2.90547e-10,2.37257e-10,6.11981e-11
9,900000,8956.94066319,56250.0,1.23438e-14,4.79155e-15,7.68462e-10,1.35425e-9,8.15873e-11
10,1000000,9952.15629244,62500.0,6.26113e-15,4.87797e-15,6.11431e-10,6.41195e-10,9.30947e-11
11,1100000,10947.3719217,68750.0,6.96968e-15,5.44498e-15,4.13706e-10,3.20502e-10,1.04046e-10
12,1200000,11942.5875509,75000.0,4.90856e-16,3.26656e-15,4.0252e-10,3.10163e-10,1.06235e-10
13,1300000,12937.8031802,81250.0,2.36521e-15,3.15759e-15,6.14918e-10,5.7131e-10,1.06048e-10
14,1400000,13933.0188094,87500.0,3.41735e-15,3.34232e-15,1.05524e-9,2.35169e-9,9.88494e-11
15,1500000,14928.2344387,93750.0,7.53836e-15,1.93751e-15,4.8388e-10,4.16984e-10,9.25288e-11
16,1600000,15923.4500679,100000.0,1.03317e-14,8.39124e-16,2.84371e-10,2.18832e-10,7.73033e-11
17,1700000,16918.6656971,106250.0,1.29624e-14,1.49848e-15,2.52336e-10,1.97456e-10,5.97265e-11
18,1800000,17913.8813264,112500.0,1.0883e-14,2.48323e-15,3.18663e-10,3.9164e-10,4.25118e-11
19,1900000,18909.0969556,118750.0,6.90951e-15,2.6402e-15,2.07537e-10,2.87922e-10,2.56045e-11
20,2000000,19904.3125849,125000.0,8.60113e-15,1.3172e-15,6.43675e-11,5.1186e-11,1.47182e-11
21,2100000,20899.5282141,131250.0,7.33435e-15,6.98149e-16,4.05667e-12,2.74579e-12,9.8036e-13
22,2200000,21894.7438434,137500.0,1.58445e-15,1.42866e-15,2.81995e-11,2.42091e-11,5.85176e-12
23,2300000,22889.9594726,143750.0,6.5961e-15,4.21214e-15,2.83952e-11,5.662e-11,2.81692e-12
24,2400000,23885.1751019,150000.0,1.09329e-14,4.60692e-15,6.11106e-11,6.10832e-11,1.00168e-11
25,2500000,24880.3907311,156250.0,1.68061e-14,5.20993e-15,1.19851e-10,9.25867e-11,3.08975e-11
26,2600000,25875.6063603,162500.0,1.39055e-14,5.09243e-15,2.20039e-10,1.69121e-10,5.66585e-11
27,2700000,26870.8219896,168750.0,1.41596e-14,5.174e-15,4.75545e-10,4.63613e-10,7.73813e-11
28,2800000,27866.0376188,175000.0,1.2836e-14,4.92229e-15,9.6076e-10,1.95248e-9,9.45427e-11
29,2900000,28861.2532481,181250.0,6.65023e-15,4.83903e-15,5.44969e-10,4.57254e-10,1.09327e-10
30,3000000,29856.4688773,187500.0,1.78135e-14,8.36089e-15,4.63337e-10,3.56141e-10,1.26944e-10
31,3100000,30851.6845066,193750.0,1.2537e-14,8.21735e-15,6.59831e-10,5.20734e-10,1.50793e-10
32,3200000,31846.9001358,200000.0,6.20682e-15,6.99854e-15,1.35936e-9,1.84811e-9,1.69019e-10
33,3300000,32842.115765,206250.0,4.95678e-15,6.70338e-15,1.33337e-9,1.66695e-9,1.76423e-10
34,3400000,33837.3313943,212500.0,1.19865e-14,8.89152e-15,8.11482e-10,6.37089e-10,1.91496e-10
35,3500000,34832.5470235,218750.0,1.79968e-14,9.89621e-15,8.02636e-10,6.16572e-10,2.18164e-10
36,3600000,35827.7626528,225000.0,1.86043e-14,1.00653e-14,1.24832e-9,1.06837e-9,2.39957e-10
37,3700000,36822.978282,231250.0,2.5413e-14,1.2226e-14,2.8563e-9,6.29449e-9,2.69148e-10
38,3800000,37818.1939113,237500.0,1.78823e-14,1.02338e-14,1.76524e-9,1.65409e-9,3.02277e-10
39,3900000,38813.4095405,243750.0,1.60445e-14,9.86271e-15,1.24716e-9,9.61034e-10,3.28132e-10
40,4000000,39808.6251698,250000.0,1.57983e-14,9.8479e-15,1.38019e-9,1.06658e-9,3.47833e-10
41,4100000,40803.840799,256250.0,1.48316e-14,8.82047e-15,2.42008e-9,2.50935e-9,3.71612e-10
42,4200000,41799.0564282,262500.0,2.04904e-14,9.85282e-15,3.80423e-9,6.8426e-9,3.99758e-10
43,4300000,42794.2720575,268750.0,2.04046e-14,8.36862e-15,2.07915e-9,1.70436e-9,4.3542e-10
44,4400000,43789.4876867,275000.0,1.57446e-14,7.11167e-15,1.67581e-9,1.28817e-9,4.61341e-10
45,4500000,44784.703316,281250.0,1.50442e-14,7.36917e-15,2.20388e-9,1.76265e-9,4.85607e-10
46,4600000,45779.9189452,287500.0,2.027e-14,5.58499e-15,4.44287e-9,6.77439e-9,5.13437e-10
47,4700000,46775.1345745,293750.0,2.13355e-14,4.15792e-15,3.83061e-9,4.38135e-9,5.42242e-10
48,4800000,47770.3502037,300000.0,2.73819e-14,6.24191e-15,2.37762e-9,1.85266e-9,5.78906e-10
49,4900000,48765.5658329,306250.0,3.05813e-14,6.65022e-15,2.31893e-9,1.78272e-9,6.22901e-10
50,5000000,49760.7814622,312500.0,3.53602e-14,8.40524e-15,3.67447e-9,3.25286e-9,6.72756e-10
51,5100000,50755.9970914,318750.0,3.2214e-14,8.40847e-15,7.80389e-9,1.80141e-8,7.18434e-10
52,5200000,51751.2127207,325000.0,3.89649e-14,9.82003e-15,4.27233e-9,3.83393e-9,7.71386e-10
53,5300000,52746.4283499,331250.0,4.06206e-14,9.97317e-15,3.10006e-9,2.38631e-9,8.29828e-10
54,5400000,53741.6439792,337500.0,4.02933e-14,9.62732e-15,3.60927e-9,2.80311e-9,8.8551e-10
55,5500000,54736.8596084,343750.0,4.26669e-14,1.0843e-14,6.55531e-9,7.30396e-9,9.45465e-10
56,5600000,55732.0752377,350000.0,4.49716e-14,1.02208e-14,8.90384e-9,1.41115e-8,1.00648e-9
57,5700000,56727.2908669,356250.0,4.20273e-14,1.00318e-14,4.90463e-9,3.94916e-9,1.06992e-9
58,5800000,57722.5064961,362500.0,4.10284e-14,1.05325e-14,4.10536e-9,3.1567e-9,1.13125e-9
59,5900000,58717.7221254,368750.0,4.98166e-14,1.28149e-14,5.6782e-9,4.61909e-9,1.20263e-9
60,6000000,59712.9377546,375000.0,4.62705e-14,1.30829e-14,1.18732e-8,2.05124e-8,1.27455e-9
61,6100000,60708.1533839,381250.0,4.7761e-14,1.29964e-14,8.90615e-9,9.44411e-9,1.34382e-9
62,6200000,61703.3690131,387500.0,4.06483e-14,1.09688e-14,5.6339e-9,4.36764e-9,1.41118e-9
63,6300000,62698.5846424,393750.0,4.41574e-14,1.24222e-14,5.57425e-9,4.29117e-9,1.4742e-9
64,6400000,63693.8002716,400000.0,4.98625e-14,1.34507e-14,8.85969e-9,8.17068e-9,1.54013e-9
65,6500000,64689.0159008,406250.0,5.29827e-14,1.40069e-14,1.7338e-8,3.90323e-8,1.61626e-9
66,6600000,65684.2315301,412500.0,5.02094e-14,1.37353e-14,8.91437e-9,7.71996e-9,1.69197e-9
67,6700000,66679.4471593,418750.0,5.44377e-14,1.52855e-14,6.52571e-9,5.02136e-9,1.77062e-9
68,6800000,67674.6627886,425000.0,5.65664e-14,1.40636e-14,7.7817e-9,6.08552e-9,1.85237e-9
69,6900000,68669.8784178,431250.0,5.544e-14,1.37693e-14,1.43308e-8,1.73764e-8,1.93385e-9
70,7000000,69665.0940471,437500.0,6.06072e-14,1.57273e-14,1.66229e-8,2.3407e-8,2.02314e-9
71,7100000,70660.3096763,443750.0,6.10047e-14,1.68413e-14,9.32673e-9,7.40705e-9,2.11351e-9
72,7200000,71655.5253056,450000.0,5.86014e-14,1.52669e-14,8.02722e-9,6.17385e-9,2.20477e-9
73,7300000,72650.7409348,456250.0,5.9381e-14,1.47814e-14,1.1295e-8,9.38449e-9,2.2922e-9
74,7400000,73645.956564,462500.0,6.14234e-14,1.4713e-14,2.37659e-8,4.65362e-8,2.38084e-9
75,7500000,74641.1721933,468750.0,5.48249e-14,1.54227e-14,1.53874e-8,1.53106e-8,2.46633e-9
76,7600000,75636.3878225,475000.0,6.05985e-14,1.71544e-14,9.92457e-9,7.66877e-9,2.54912e-9
77,7700000,76631.6034518,481250.0,5.79684e-14,1.84344e-14,1.01764e-8,7.84844e-9,2.6391e-9
78,7800000,77626.819081,487500.0,5.64251e-14,1.72135e-14,1.65682e-8,1.60475e-8,2.72509e-9
79,7900000,78622.0347103,493750.0,5.79886e-14,1.70277e-14,2.88401e-8,5.95613e-8,2.81016e-9
80,8000000,79617.2503395,500000.0,5.70398e-14,1.53261e-14,1.45578e-8,1.2249e-8,2.89667e-9
81,8100000,80612.4659687,506250.0,5.82971e-14,1.68767e-14,1.08871e-8,8.37707e-9,2.9825e-9
82,8200000,81607.681598,512500.0,5.87596e-14,1.85356e-14,1.33137e-8,1.05078e-8,3.06459e-9
83,8300000,82602.8972272,518750.0,4.83329e-14,1.57438e-14,2.50006e-8,3.3447e-8,3.14466e-9
84,8400000,83598.1128565,525000.0,4.84045e-14,1.67024e-14,2.46216e-8,3.12163e-8,3.21974e-9
85,8500000,84593.3284857,531250.0,3.84103e-14,1.5204e-14,1.39968e-8,1.1002e-8,3.2855e-9
86,8600000,85588.544115,537500.0,3.80281e-14,1.53879e-14,1.22739e-8,9.44241e-9,3.34624e-9
87,8700000,86583.7597442,543750.0,4.3541e-14,1.61707e-14,1.75813e-8,1.49951e-8,3.40826e-9
88,8800000,87578.9753735,550000.0,3.16817e-14,1.34649e-14,3.65291e-8,7.94667e-8,3.46348e-9
89,8900000,88574.1910027,556250.0,3.00552e-14,1.39528e-14,2.06647e-8,1.94964e-8,3.50662e-9
90,9000000,89569.4066319,562500.0,2.38199e-14,1.27637e-14,1.35081e-8,1.04173e-8,3.54539e-9
91,9100000,90564.6222612,568750.0,2.48532e-14,1.42141e-14,1.41379e-8,1.0934e-8,3.58183e-9
92,9200000,91559.8378904,575000.0,2.20758e-14,1.03748e-14,2.33297e-8,2.39604e-8,3.61793e-9
93,9300000,92555.0535197,581250.0,1.59539e-14,8.90491e-15,3.50894e-8,6.43287e-8,3.64537e-9
94,9400000,93550.2691489,587500.0,1.56122e-14,8.81506e-15,1.76324e-8,1.44972e-8,3.66782e-9
95,9500000,94545.4847782,593750.0,2.01096e-14,9.68772e-15,1.34217e-8,1.03274e-8,3.6969e-9
96,9600000,95540.7004074,600000.0,3.40417e-14,1.28264e-14,1.68482e-8,1.34586e-8,3.73809e-9
97,9700000,96535.9160366,606250.0,3.42742e-14,1.3331e-14,3.24319e-8,4.8545e-8,3.79124e-9
98,9800000,97531.1316659,612500.0,3.79755e-14,1.50294e-14,2.74861e-8,3.18281e-8,3.84931e-9
99,9900000,98526.3472951,618750.0,3.89128e-14,1.57239e-14,1.61071e-8,1.25664e-8,3.90461e-9
100,10000000,99521.5629244,625000.0,3.87916e-14,1.65548e-14,1.46907e-8,1.1305e-8,3.95889e-9
