sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,1.68371e-72,1.55498e-61,1.54868e-73
1,10048,99.9992664264,628.0,1.86231e-16,1.66612e-16,3.10457e-13,7.18759e-13,2.85414e-14
2,20096,199.998532853,1256.0,1.85325e-15,7.34563e-16,2.29245e-13,5.28107e-13,2.0995e-14
3,30144,299.997799279,1884.0,1.15931e-15,5.78808e-16,1.69337e-12,3.9052e-12,1.55608e-13
4,40192,399.997065706,2512.0,7.0421e-16,9.16334e-16,3.57665e-12,8.24803e-12,3.28898e-13
5,50240,499.996332132,3140.0,3.68058e-15,1.64631e-15,8.75197e-12,2.018e-11,8.05323e-13
6,60288,599.995598559,3768.0,4.22427e-15,2.5954e-15,1.52759e-11,3.52046e-11,1.40626e-12
7,70336,699.994864985,4396.0,4.74905e-15,2.82194e-15,2.233e-11,5.14224e-11,2.05648e-12
8,80384,799.994131411,5024.0,5.60286e-15,3.43155e-15,3.04978e-11,7.01728e-11,2.80989e-12
9,90432,899.993397838,5652.0,8.75417e-15,3.86714e-15,4.301e-11,9.88663e-11,3.96462e-12
10,100480,999.992664264,6280.0,8.35637e-15,4.11912e-15,5.7145e-11,1.31218e-10,5.27042e-12
11,110528,1099.99193069,6908.0,7.83809e-15,4.5369e-15,7.03213e-11,1.61285e-10,6.48953e-12
12,120576,1199.99119712,7536.0,8.89359e-15,4.63993e-15,8.40947e-11,1.92629e-10,7.76566e-12
13,130624,1299.99046354,8164.0,9.16472e-15,4.88302e-15,9.8107e-11,2.24413e-10,9.06603e-12
14,140672,1399.98972997,8792.0,9.12119e-15,4.79681e-15,1.11967e-10,2.55734e-10,1.03547e-11
15,150720,1499.9889964,9420.0,9.34918e-15,4.90097e-15,1.25749e-10,2.86755e-10,1.16387e-11
16,160768,1599.98826282,10048.0,8.2405e-15,4.6395e-15,1.41239e-10,3.21529e-10,1.30836e-11
17,170816,1699.98752925,10676.0,1.00329e-14,5.11932e-15,1.56672e-10,3.56018e-10,1.45265e-11
18,180864,1799.98679568,11304.0,9.67559e-15,5.53427e-15,1.71425e-10,3.88802e-10,1.59097e-11
19,190912,1899.9860621,11932.0,1.01388e-14,5.01537e-15,1.86364e-10,4.21834e-10,1.73137e-11
20,200960,1999.98532853,12560.0,7.20396e-15,4.99963e-15,1.98746e-10,4.48912e-10,1.84837e-11
21,211008,2099.98459495,13188.0,3.69555e-15,4.5299e-15,2.06661e-10,4.65759e-10,1.92412e-11
22,221056,2199.98386138,13816.0,4.5438e-15,4.94673e-15,2.13364e-10,4.79753e-10,1.98884e-11
23,231104,2299.98312781,14444.0,3.48318e-15,4.72238e-15,2.19592e-10,4.92571e-10,2.04938e-11
24,241152,2399.98239423,15072.0,1.6145e-15,3.72618e-15,2.23805e-10,5.00766e-10,2.09132e-11
