sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,91312,9999.94524298,3652480.0,3.50015e-15,1.28444e-15,0.0,0.0,0.0
2,182624,19999.890486,7304960.0,5.17319e-15,2.0659e-15,0.0,0.0,0.0
3,273936,29999.835729,10957440.0,7.04825e-15,2.89259e-15,0.0,0.0,0.0
4,365248,39999.7809719,14609920.0,4.76176e-15,2.01787e-15,0.0,0.0,0.0
5,456560,49999.7262149,18262400.0,6.55413e-15,2.46453e-15,0.0,0.0,0.0
6,547872,59999.6714579,21914880.0,7.45997e-15,2.7966e-15,0.0,0.0,0.0
7,639184,69999.6167009,25567360.0,5.08056e-15,1.87724e-15,0.0,0.0,0.0
8,730496,79999.5619439,29219840.0,4.544e-15,1.67833e-15,0.0,0.0,0.0
9,821808,89999.5071869,32872320.0,2.64055e-15,7.66804e-16,0.0,0.0,0.0
10,913120,99999.4524298,36524800.0,5.08545e-15,1.66512e-15,0.0,0.0,0.0
11,1004432,109999.397673,40177280.0,5.87941e-15,1.9509e-15,0.0,0.0,0.0
12,1095744,119999.342916,43829760.0,6.07113e-15,1.88955e-15,0.0,0.0,0.0
13,1187056,129999.288159,47482240.0,6.91767e-15,2.21003e-15,0.0,0.0,0.0
14,1278368,139999.233402,51134720.0,6.12153e-15,1.78857e-15,0.0,0.0,0.0
15,1369680,149999.178645,54787200.0,6.83843e-15,2.16724e-15,0.0,0.0,0.0
16,1460992,159999.123888,58439680.0,8.13021e-15,2.54811e-15,0.0,0.0,0.0
17,1552304,169999.069131,62092160.0,7.68673e-15,2.35343e-15,0.0,0.0,0.0
18,1643616,179999.014374,65744640.0,8.82473e-15,2.79395e-15,0.0,0.0,0.0
19,1734928,189998.959617,69397120.0,8.09696e-15,2.33601e-15,0.0,0.0,0.0
20,1826240,199998.90486,73049600.0,7.44736e-15,2.11699e-15,0.0,0.0,0.0
21,1917552,209998.850103,76702080.0,7.59454e-15,2.23463e-15,0.0,0.0,0.0
22,2008864,219998.795346,80354560.0,5.99751e-15,1.65175e-15,0.0,0.0,0.0
23,2100176,229998.740589,84007040.0,5.39714e-15,1.47889e-15,0.0,0.0,0.0
24,2191488,239998.685832,87659520.0,4.99648e-15,1.15412e-15,0.0,0.0,0.0
25,2282800,249998.631075,91312000.0,6.8024e-15,1.682e-15,0.0,0.0,0.0
26,2374112,259998.576318,94964480.0,6.72907e-15,1.70411e-15,0.0,0.0,0.0
27,2465424,269998.521561,98616960.0,7.63002e-15,2.02151e-15,0.0,0.0,0.0
28,2556736,279998.466804,102269440.0,1.10902e-14,3.23457e-15,0.0,0.0,0.0
29,2648048,289998.412047,105921920.0,1.281e-14,3.81484e-15,0.0,0.0,0.0
30,2739360,299998.35729,109574400.0,1.14282e-14,3.29773e-15,0.0,0.0,0.0
31,2830672,309998.302533,113226880.0,1.31825e-14,3.98571e-15,0.0,0.0,0.0
32,2921984,319998.247775,116879360.0,1.73856e-14,5.42065e-15,0.0,0.0,0.0
33,3013296,329998.193018,120531840.0,1.59868e-14,4.80675e-15,0.0,0.0,0.0
34,3104608,339998.138261,124184320.0,1.54602e-14,4.66086e-15,0.0,0.0,0.0
35,3195920,349998.083504,127836800.0,1.44113e-14,4.39388e-15,0.0,0.0,0.0
36,3287232,359998.028747,131489280.0,9.86213e-15,2.66699e-15,0.0,0.0,0.0
37,3378544,369997.97399,135141760.0,1.29743e-14,3.77049e-15,0.0,0.0,0.0
38,3469856,379997.919233,138794240.0,9.84256e-15,2.61701e-15,0.0,0.0,0.0
39,3561168,389997.864476,142446720.0,1.10383e-14,2.99566e-15,0.0,0.0,0.0
40,3652480,399997.809719,146099200.0,1.25032e-14,3.43204e-15,0.0,0.0,0.0
41,3743792,409997.754962,149751680.0,1.03675e-14,2.77957e-15,0.0,0.0,0.0
42,3835104,419997.700205,153404160.0,1.07628e-14,2.9508e-15,0.0,0.0,0.0
43,3926416,429997.645448,157056640.0,1.11966e-14,3.09303e-15,0.0,0.0,0.0
44,4017728,439997.590691,160709120.0,1.16741e-14,3.41077e-15,0.0,0.0,0.0
45,4109040,449997.535934,164361600.0,1.23061e-14,3.65197e-15,0.0,0.0,0.0
46,4200352,459997.481177,168014080.0,1.111e-14,3.23733e-15,0.0,0.0,0.0
47,4291664,469997.42642,171666560.0,1.07871e-14,3.10446e-15,0.0,0.0,0.0
48,4382976,479997.371663,175319040.0,9.68508e-15,2.64715e-15,0.0,0.0,0.0
49,4474288,489997.316906,178971520.0,1.18451e-14,3.40786e-15,0.0,0.0,0.0
50,4565600,499997.262149,182624000.0,1.22006e-14,3.53269e-15,0.0,0.0,0.0
51,4656912,509997.207392,186276480.0,1.36724e-14,4.03223e-15,0.0,0.0,0.0
52,4748224,519997.152635,189928960.0,1.69443e-14,5.32936e-15,0.0,0.0,0.0
53,4839536,529997.097878,193581440.0,1.57132e-14,4.81201e-15,0.0,0.0,0.0
54,4930848,539997.043121,197233920.0,1.40241e-14,4.20618e-15,0.0,0.0,0.0
55,5022160,549996.988364,200886400.0,1.49545e-14,4.65258e-15,0.0,0.0,0.0
56,5113472,559996.933607,204538880.0,1.87799e-14,6.0716e-15,0.0,0.0,0.0
