step,t,rel_energy_diff,max_rel_coord_diff
0,0.0,0.0,0.0
20,1.73879235105077297,2.77929e-35,4.60377e-35
40,1.8660664087402419,1.15858e-33,9.14748e-35
60,1.87781243911671278,7.8946e-32,1.87876e-34
80,1.87924141175993614,5.83498e-32,3.93795e-34
100,1.88009010958559329,1.27359e-31,2.07865e-34
120,1.88426515596973972,7.8733e-32,1.47586e-34
140,1.91697980821923139,6.81406e-32,2.74489e-34
160,2.21977280432004719,6.81252e-32,4.7618e-33
180,2.96041518964568289,6.79778e-32,2.74215e-32
200,3.3336339291006184,6.8083e-32,5.80537e-32
220,3.72965846554474973,6.84728e-32,1.42134e-31
240,3.79173966252363391,7.03846e-32,2.92178e-31
260,3.80420033148588133,8.3127e-32,4.38092e-31
280,3.83062580465938686,6.90098e-32,1.67757e-31
300,4.02183519443959449,6.95186e-32,8.14951e-32
320,5.97480722185248169,6.94127e-32,2.73138e-31
340,6.79497072187611186,6.97467e-32,9.11455e-31
360,6.88598627153433828,7.05219e-32,2.41955e-30
380,6.9137686090668278,6.31487e-32,2.1996e-30
400,7.00942127355453305,6.76948e-32,9.30992e-31
420,7.88406774123889907,6.78326e-32,3.13888e-31
440,8.68366724926137081,6.76338e-32,2.92968e-31
460,8.75222794308534943,6.48154e-32,5.98004e-31
480,8.7588538340456356,7.0841e-32,1.08526e-30
500,8.75976019456817657,1.2899e-30,2.66232e-30
520,8.76058995249114095,2.68215e-31,1.5054e-30
540,8.76531691636737134,1.95349e-31,8.56641e-31
560,8.80259934959098681,1.86681e-31,4.42971e-31
580,9.09577148740312974,1.87058e-31,2.62296e-31
600,9.83351175388498813,1.86873e-31,5.77031e-31
620,10.1029937776161025,1.87074e-31,4.78275e-31
640,10.7523647209310874,1.87099e-31,5.55332e-31
660,11.4626833451803582,1.87329e-31,7.76555e-31
680,11.5975569532909419,1.88134e-31,9.29041e-31
700,11.6541173198407471,1.86376e-31,8.63994e-31
720,11.9056627592430767,1.86239e-31,8.79816e-31
740,13.5796379081065395,1.86201e-31,1.01264e-30
760,14.4111144842799166,1.86223e-31,2.06822e-30
780,14.6017004794909443,1.84461e-31,2.93317e-30
800,14.7052263641047119,1.86535e-31,2.16058e-30
820,15.2298921077297909,1.86351e-31,1.1107e-30
840,15.7641004077530397,1.85858e-31,1.11144e-30
860,15.8237897186192259,1.84836e-31,2.10637e-30
880,15.8293388748404208,3.45177e-31,4.75393e-30
900,15.8298607216125112,2.77759e-30,9.99499e-30
920,15.8299129505596078,1.2881e-29,1.95456e-29
940,15.829921091904476,1.15605e-28,3.59119e-29
960,15.8299317237887145,3.49162e-29,2.0372e-29
980,15.8299977680742615,3.44946e-29,1.08937e-29
1000,15.8305212782393674,3.11401e-29,5.49363e-30
1020,15.834851072724904,3.11448e-29,2.79477e-30
1040,15.8710434080383848,3.11533e-29,1.33069e-30
1060,16.1498668236856584,3.11534e-29,1.41452e-30
1080,16.857067781349776,3.11534e-29,9.75927e-30
1100,17.0113885355653876,3.11543e-29,1.20519e-29
1120,17.1915926188493624,3.11535e-29,1.49564e-29
1140,17.8858915629480265,3.11534e-29,2.94779e-29
1160,19.2561986432262287,3.11535e-29,9.84723e-29
