sample,step,t,dx_m1,dv_m1,dx_m2,dv_m2,dx_m3,dv_m3,dx_m4,dv_m4,dx_m5,dv_m5,dx_m6,dv_m6,dx_m7,dv_m7
0,0,0.0,7.401487e-17,0.000000e+00,1.480297e-16,0.000000e+00,2.960595e-16,0.000000e+00,5.921189e-16,0.000000e+00,1.184238e-15,0.000000e+00,2.368476e-15,0.000000e+00,4.736952e-15,0.000000e+00
1,20,1.73879235105077297,9.800942e-17,1.979136e-16,1.960188e-16,1.979136e-16,3.430330e-16,1.979136e-16,6.860659e-16,1.979136e-16,1.372132e-15,3.958272e-16,2.744264e-15,7.916543e-16,5.488528e-15,1.583309e-15
2,40,1.8660664087402419,5.190811e-17,4.929179e-16,1.557243e-16,8.215299e-16,3.633568e-16,6.572239e-16,6.748054e-16,1.314448e-15,1.401519e-15,3.286119e-15,2.854946e-15,6.900851e-15,5.657984e-15,1.298017e-14
3,60,1.87781243911671278,1.044224e-16,5.256336e-15,2.088447e-16,8.541546e-15,3.654783e-16,6.488290e-15,7.309565e-16,1.273019e-14,1.461913e-15,3.285210e-14,2.871615e-15,6.915367e-14,5.743230e-15,1.319012e-13
4,80,1.87924141175993614,2.089940e-16,3.701816e-14,3.657395e-16,5.998422e-14,3.657395e-16,4.597103e-14,7.314791e-16,8.984009e-14,1.410710e-15,2.334752e-13,2.925916e-15,4.904226e-13,5.695087e-15,9.368982e-13
5,100,1.88009010958559329,1.045414e-16,1.679822e-14,2.090829e-16,2.424648e-14,3.658951e-16,2.171090e-14,7.317901e-16,4.199554e-14,1.411310e-15,1.102977e-13,2.874890e-15,2.359674e-13,5.697509e-15,4.456281e-13
6,120,1.88426515596973972,2.095221e-16,2.749010e-15,2.095221e-16,3.498740e-15,3.666637e-16,3.561217e-15,6.809468e-16,5.123154e-15,1.414274e-15,7.872164e-15,2.828548e-15,2.099244e-14,5.709477e-15,3.211343e-14
7,140,1.91697980821923139,2.130862e-16,5.336616e-15,5.327155e-16,6.416646e-15,3.729009e-16,9.656734e-15,7.458017e-16,8.513174e-15,1.491603e-15,1.905934e-15,2.929935e-15,1.562866e-14,5.806599e-15,2.922433e-15
8,160,2.21977280432004719,6.126582e-15,3.070357e-14,3.617290e-15,1.845315e-14,1.173175e-14,5.939124e-14,9.776461e-15,4.962192e-14,3.649879e-15,1.721260e-14,1.642445e-14,8.699343e-14,8.342580e-15,3.659617e-14
9,180,2.96041518964568289,4.145649e-14,4.291613e-14,2.438617e-14,3.253803e-14,7.986472e-14,8.704671e-14,6.690956e-14,7.200005e-14,2.331928e-14,2.460462e-14,1.164440e-13,1.334643e-13,4.983924e-14,4.872029e-14
10,200,3.3336339291006184,9.397653e-14,1.364812e-13,6.255300e-14,9.696712e-14,1.857265e-13,2.721140e-13,1.548911e-13,2.250849e-13,5.263862e-14,7.975546e-14,2.796190e-13,4.092013e-13,1.097303e-13,1.700561e-13
11,220,3.72965846554474973,1.960692e-13,6.819509e-13,1.189894e-13,4.252219e-13,3.807660e-13,1.330422e-12,3.189898e-13,1.112961e-12,1.091613e-13,3.806347e-13,5.620229e-13,1.974356e-12,2.302567e-13,8.008503e-13
12,240,3.79173966252363391,3.844400e-13,6.960167e-12,2.370277e-13,4.344638e-12,7.484733e-13,1.358351e-11,6.265023e-13,1.136222e-11,2.144728e-13,3.885707e-12,1.107942e-12,2.016140e-11,4.517019e-13,8.175433e-12
13,260,3.80420033148588133,5.704795e-13,9.567781e-12,3.575773e-13,5.983704e-12,1.113169e-12,1.867472e-11,9.303532e-13,1.561617e-11,3.186711e-13,5.347961e-12,1.652763e-12,2.770865e-11,6.723877e-13,1.124621e-11
14,280,3.83062580465938686,2.148473e-13,1.832597e-12,1.351525e-13,1.145594e-12,4.190316e-13,3.576626e-12,3.499344e-13,2.990160e-12,1.198612e-13,1.025529e-12,6.228397e-13,5.303521e-12,2.543595e-13,2.153107e-12
15,300,4.02183519443959449,9.240355e-14,1.913113e-13,6.454141e-14,1.231124e-13,1.822207e-13,3.737657e-13,1.516547e-13,3.113238e-13,5.431354e-14,1.087197e-13,2.723906e-13,5.553343e-13,1.176793e-13,2.271822e-13
16,320,5.97480722185248169,2.193527e-13,7.823390e-13,1.391509e-13,4.814991e-13,4.279763e-13,1.514107e-12,3.568593e-13,1.262029e-12,1.236531e-13,4.366143e-13,6.349144e-13,2.240103e-12,2.667093e-13,9.343098e-13
17,340,6.79497072187611186,7.525203e-13,4.378874e-12,4.452467e-13,2.563269e-12,1.449051e-12,8.427622e-12,1.213764e-12,7.077219e-12,4.110867e-13,2.371560e-12,2.139334e-12,1.243398e-11,8.841613e-13,5.144302e-12
18,360,6.88598627153433828,2.025263e-12,2.837794e-11,1.183198e-12,1.644668e-11,3.896445e-12,5.456784e-11,3.272129e-12,4.589876e-11,1.095896e-12,1.526392e-11,5.748703e-12,8.047518e-11,2.374722e-12,3.323244e-11
19,380,6.9137686090668278,1.855241e-12,2.359522e-11,1.068087e-12,1.358046e-11,3.563306e-12,4.534807e-11,2.998958e-12,3.819182e-11,9.941814e-13,1.262288e-11,5.253304e-12,6.686318e-11,2.167111e-12,2.757682e-11
20,400,7.00942127355453305,7.949094e-13,4.134616e-12,4.571322e-13,2.376556e-12,1.525304e-12,7.946055e-12,1.282943e-12,6.694712e-12,4.264659e-13,2.207031e-12,2.248396e-12,1.171494e-11,9.275900e-13,4.830276e-12
21,420,7.88406774123889907,3.532691e-13,8.514434e-13,1.780339e-13,5.058043e-13,6.753231e-13,1.636987e-12,5.842611e-13,1.373264e-12,1.684540e-13,4.515193e-13,9.924258e-13,2.409387e-12,4.043974e-13,9.955922e-13
22,440,8.68366724926137081,3.135556e-13,8.204068e-13,3.250921e-13,9.954085e-13,6.319261e-13,1.681765e-12,4.640803e-13,1.139735e-12,2.613663e-13,8.098239e-13,9.474529e-13,2.519350e-12,4.386805e-13,1.246791e-12
23,460,8.75222794308534943,5.930666e-13,7.640233e-12,7.555155e-13,9.030446e-12,1.204955e-12,1.561991e-11,8.533653e-13,1.070920e-11,6.122168e-13,7.367567e-12,1.806285e-12,2.339025e-11,9.121932e-13,1.148416e-11
24,480,8.7588538340456356,1.076497e-12,1.238622e-10,1.339890e-12,1.466920e-10,2.212175e-12,2.533192e-10,1.481439e-12,1.735274e-10,1.089042e-12,1.197750e-10,3.313040e-12,3.794101e-10,1.657144e-12,1.864219e-10
25,500,8.75976019456817657,2.682780e-12,5.028324e-10,3.215690e-12,5.926231e-10,5.498829e-12,1.027731e-09,3.748501e-12,7.054905e-10,2.625262e-12,4.838356e-10,8.237485e-12,1.538987e-09,4.062308e-12,7.550080e-10
26,520,8.76058995249114095,1.556953e-12,1.045858e-10,1.763680e-12,1.223208e-10,3.170287e-12,2.135533e-10,2.213405e-12,1.470728e-10,1.444916e-12,9.987496e-11,4.747019e-12,3.197013e-10,2.296989e-12,1.564665e-10
27,540,8.76531691636737134,8.992066e-13,1.185452e-11,9.862393e-13,1.395726e-11,1.825451e-12,2.422561e-11,1.291413e-12,1.663683e-11,8.103319e-13,1.139212e-11,2.733078e-12,3.627343e-11,1.308122e-12,1.778949e-11
