sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err,rel_phase_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20,1.73879235105,1.7387923510507729743,1.62508e-20,3.3406e-24,0.0,0.0,0.0
2,40,1.86606640874,1.8660664087402419004,1.69613e-20,3.35462e-24,0.0,0.0,0.0
3,60,1.87781243912,1.877812439116712781,1.73444e-20,3.36501e-24,0.0,0.0,0.0
4,80,1.87924141176,1.8792414117599361402,1.72617e-20,3.40092e-24,0.0,0.0,0.0
5,100,1.88009010959,1.8800901095855932863,1.70119e-20,3.46532e-24,0.0,0.0,0.0
6,120,1.88426515597,1.8842651559697397196,1.69708e-20,3.4676e-24,0.0,0.0,0.0
7,140,1.91697980822,1.9169798082192313851,1.71207e-20,3.4698e-24,0.0,0.0,0.0
8,160,2.21977280432,2.2197728043200471852,1.72359e-20,3.47475e-24,0.0,0.0,0.0
9,180,2.96041518965,2.9604151896456828914,1.72624e-20,4.15598e-24,0.0,0.0,0.0
10,200,3.3336339291,3.3336339291006184033,1.72615e-20,4.42161e-24,0.0,0.0,0.0
11,220,3.72965846554,3.7296584655447497304,1.72953e-20,4.41427e-24,0.0,0.0,0.0
12,240,3.79173966252,3.7917396625236339109,1.7269e-20,4.38636e-24,0.0,0.0,0.0
13,260,3.80420033149,3.8042003314858813256,1.72267e-20,4.16061e-24,0.0,0.0,0.0
14,280,3.83062580466,3.8306258046593868646,1.72226e-20,4.14325e-24,0.0,0.0,0.0
15,300,4.02183519444,4.0218351944395944892,1.72443e-20,4.13518e-24,0.0,0.0,0.0
16,320,5.97480722185,5.9748072218524816886,1.79205e-20,6.26933e-24,0.0,0.0,0.0
17,340,6.79497072188,6.7949707218761118561,1.79626e-20,6.30044e-24,0.0,0.0,0.0
18,360,6.88598627153,6.8859862715343382822,1.79386e-20,6.34171e-24,0.0,0.0,0.0
19,380,6.91376860907,6.9137686090668278032,1.79279e-20,6.57221e-24,0.0,0.0,0.0
20,400,7.00942127355,7.0094212735545330458,1.79222e-20,6.58227e-24,0.0,0.0,0.0
21,420,7.88406774124,7.8840677412388990701,1.79746e-20,6.53985e-24,0.0,0.0,0.0
22,440,8.68366724926,8.6836672492613708104,1.83248e-20,6.495e-24,0.0,0.0,0.0
23,460,8.75222794309,8.7522279430853494307,1.91261e-20,6.50544e-24,0.0,0.0,0.0
24,480,8.75885383405,8.7588538340456356049,1.92354e-20,6.51478e-24,0.0,0.0,0.0
25,500,8.75976019457,8.7597601945681765733,1.91276e-20,6.57197e-24,0.0,0.0,0.0
26,520,8.76058995249,8.7605899524911409538,1.89981e-20,6.60755e-24,0.0,0.0,0.0
27,540,8.76531691637,8.7653169163673713428,1.8979e-20,6.60953e-24,0.0,0.0,0.0
28,560,8.80259934959,8.8025993495909868132,1.91278e-20,6.61139e-24,0.0,0.0,0.0
29,580,9.0957714874,9.0957714874031297384,1.91733e-20,6.61278e-24,0.0,0.0,0.0
30,600,9.83351175388,9.8335117538849881305,1.91713e-20,6.50948e-24,0.0,0.0,0.0
31,620,10.1029937776,10.102993777616102486,1.917e-20,6.09732e-24,0.0,0.0,0.0
32,640,10.7523647209,10.752364720931087413,1.91695e-20,6.07858e-24,0.0,0.0,0.0
33,660,11.4626833452,11.462683345180358165,1.91708e-20,6.09922e-24,0.0,0.0,0.0
34,680,11.5975569533,11.597556953290941943,1.91509e-20,6.20492e-24,0.0,0.0,0.0
35,700,11.6541173198,11.654117319840747072,1.91418e-20,6.53634e-24,0.0,0.0,0.0
36,720,11.9056627592,11.905662759243076693,1.91379e-20,6.55506e-24,0.0,0.0,0.0
37,740,13.5796379081,13.579637908106539526,1.91554e-20,6.57354e-24,0.0,0.0,0.0
38,760,14.4111144843,14.411114484279916597,1.91536e-20,6.56682e-24,0.0,0.0,0.0
39,780,14.6017004795,14.601700479490944261,1.91467e-20,6.43085e-24,0.0,0.0,0.0
40,800,14.7052263641,14.705226364104711852,1.9143e-20,6.17171e-24,0.0,0.0,0.0
41,820,15.2298921077,15.229892107729790873,1.91398e-20,6.15389e-24,0.0,0.0,0.0
42,840,15.7641004078,15.76410040775303968,1.92754e-20,6.15518e-24,0.0,0.0,0.0
43,860,15.8237897186,15.823789718619225858,2.049e-20,6.15313e-24,0.0,0.0,0.0
