sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,250,4.94824822053,31.075226784554360234,6.97568e-16,3.64271e-16,3.38863e-14,6.26026e-14
2,500,9.88433395818,62.07407261637231565,1.11565e-15,3.24139e-16,8.98549e-14,1.11485e-13
3,750,14.7695509952,92.753460664610547842,8.84105e-16,2.24242e-16,1.13834e-13,9.83163e-14
4,1000,19.4730327447,122.29154273527879072,1.05961e-15,3.8172e-16,1.05177e-13,8.17598e-14
5,1250,24.2361684724,152.20425453670747869,9.82317e-16,2.71415e-16,1.88822e-13,1.63064e-13
6,1500,29.1274933416,182.9220000524482211,9.23806e-16,1.36966e-16,3.24146e-13,3.82934e-13
7,1750,34.0631905473,213.91840588563660816,2.27844e-15,5.25853e-16,5.1688e-13,8.87617e-13
8,2000,39.0167411658,245.02693197436158907,2.23287e-15,5.19801e-16,7.50664e-13,1.68402e-12
9,2250,43.9742336864,276.16021338872890085,2.00685e-15,4.20624e-16,9.24635e-13,1.99912e-12
10,2500,48.922507388,307.23560019558888052,2.03503e-15,5.48989e-16,8.90755e-13,1.38849e-12
11,2750,53.8416647256,338.12813489520443966,1.74241e-15,3.15881e-16,7.63741e-13,7.93597e-13
12,3000,58.674513271,368.47864640377537198,1.55094e-15,2.92508e-16,5.55515e-13,4.37162e-13
13,3250,63.3365161585,397.75623931036058056,2.20355e-15,5.11336e-16,5.99433e-13,4.71873e-13
14,3500,68.1780692193,428.16141557617661375,2.69079e-15,6.28768e-16,9.91214e-13,9.70568e-13
15,3750,73.0946692704,459.03789039871600545,3.76337e-15,9.58537e-16,1.51993e-12,2.13243e-12
16,4000,78.0406516473,490.09888758072784796,4.30827e-15,1.0355e-15,2.14649e-12,4.27701e-12
17,4250,82.9975648275,521.22853071152817975,4.4491e-15,1.11722e-15,2.67333e-12,6.16835e-12
18,4500,87.9525727793,552.34620891959965757,4.37582e-15,1.09718e-15,2.75155e-12,5.24784e-12
19,4750,92.8910295963,583.35994523925247838,4.23685e-15,9.00147e-16,2.43345e-12,3.14426e-12
20,5000,97.7829853594,614.0816527979118014,3.81869e-15,8.69297e-16,1.87518e-12,1.66424e-12
21,5250,102.5072495,643.75024924450157855,3.91344e-15,7.44258e-16,1.33398e-12,1.0277e-12
22,5500,107.249065113,673.52906973948608108,3.40763e-15,5.20214e-16,1.99548e-12,1.68458e-12
23,5750,112.134395879,704.20917201470411128,4.21852e-15,6.24829e-16,3.00637e-12,3.44138e-12
24,6000,117.067689661,735.19048423448149618,3.58774e-15,5.04658e-16,4.15555e-12,6.92281e-12
25,6250,122.02033258,766.29330992916537291,4.11901e-15,6.24003e-16,5.16803e-12,1.14498e-11
26,6500,126.977983016,797.42758305870261168,4.56046e-15,7.65209e-16,5.4841e-12,1.20655e-11
27,6750,131.927607256,828.5114513093846177,4.33026e-15,4.99642e-16,4.92945e-12,7.95205e-12
28,7000,136.85049697,859.42742550297556225,5.10499e-15,5.82793e-16,3.94229e-12,4.23413e-12
29,7250,141.695718833,889.85564201721512072,4.95581e-15,5.41334e-16,2.78255e-12,2.2132e-12
30,7500,146.356851419,919.12776938864204412,4.4154e-15,4.15039e-16,2.65143e-12,2.06551e-12
31,7750,151.187484007,949.46436458394962685,4.46154e-15,3.91371e-16,4.08662e-12,3.89393e-12
32,8000,156.100199276,980.31644279720021472,4.72745e-15,4.0368e-16,5.78161e-12,7.85465e-12
33,8250,161.044597015,1011.3674883783534105,5.32485e-15,4.27634e-16,7.54265e-12,1.46636e-11
34,8500,166.00108651,1042.4944707481348193,5.32634e-15,4.10286e-16,8.67364e-12,2.00302e-11
35,8750,170.956760245,1073.6163301041882451,4.72221e-15,1.54183e-16,8.34419e-12,1.63562e-11
36,9000,175.897383356,1104.6436708502848896,4.12731e-15,1.15895e-16,6.90736e-12,9.24721e-12
37,9250,180.795417003,1135.4035477961537858,3.98097e-15,5.61673e-17,5.09513e-12,4.64537e-12
38,9500,185.544239333,1165.2263708034867491,3.82457e-15,2.17502e-17,3.39294e-12,2.61114e-12
39,9750,190.262852452,1194.8594785742382408,3.07157e-15,2.37411e-16,4.63125e-12,3.83731e-12
40,10000,195.141638873,1225.4984820563041927,3.16935e-15,2.11407e-16,6.71651e-12,7.45378e-12
