sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,401,0.997703668317,6.265625,3.05817e-31,8.28309e-33,2.05196e-30,4.7441e-30
2,802,1.99540733663,12.53125,5.92507e-31,1.64952e-32,8.19474e-30,1.89031e-29
3,1203,2.99311100495,18.796875,8.49117e-31,2.4823e-32,1.84126e-29,4.23415e-29
4,1604,3.99081467327,25.0625,1.07354e-30,3.32075e-32,3.2677e-29,7.48285e-29
5,2005,4.98851834158,31.328125,1.27341e-30,4.15672e-32,5.09433e-29,1.16045e-28
6,2406,5.9862220099,37.59375,1.46336e-30,4.99432e-32,7.31574e-29,1.65606e-28
7,2807,6.98392567822,43.859375,1.65846e-30,5.83359e-32,9.92536e-29,2.23068e-28
8,3208,7.98162934654,50.125,1.86998e-30,6.68268e-32,1.29151e-28,2.87927e-28
9,3609,8.97933301485,56.390625,2.10161e-30,7.53411e-32,1.62762e-28,3.59642e-28
10,4010,9.97703668317,62.65625,2.35133e-30,8.38239e-32,1.99989e-28,4.37647e-28
11,4411,10.9747403515,68.921875,2.61449e-30,9.2437e-32,2.40734e-28,5.21358e-28
12,4812,11.9724440198,75.1875,2.8825e-30,1.00911e-31,2.84889e-28,6.10178e-28
13,5213,12.9701476881,81.453125,3.15076e-30,1.09512e-31,3.32347e-28,7.03523e-28
14,5614,13.9678513564,87.71875,3.41467e-30,1.18172e-31,3.82999e-28,8.00815e-28
15,6015,14.9655550248,93.984375,3.67231e-30,1.26758e-31,4.36734e-28,9.01501e-28
16,6416,15.9632586931,100.25,3.92482e-30,1.35391e-31,4.93444e-28,1.00505e-27
17,6817,16.9609623614,106.515625,4.17339e-30,1.44078e-31,5.53019e-28,1.11098e-27
18,7218,17.9586660297,112.78125,4.42025e-30,1.52853e-31,6.15353e-28,1.21881e-27
19,7619,18.956369698,119.046875,4.66552e-30,1.61474e-31,6.80338e-28,1.32814e-27
20,8020,19.9540733663,125.3125,4.91104e-30,1.70045e-31,7.47871e-28,1.43856e-27
21,8038,19.9988580697,125.59375,5.05629e-30,1.74185e-31,8.19983e-28,1.8933e-27
