sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,1.55498e-61
1,628,4.99996332132,31.400000000000001743,4.94044e-16,1.73476e-16,9.54336e-15,2.19751e-14
2,1256,9.99992664264,62.800000000000003486,9.40613e-16,1.61692e-16,5.27712e-14,1.21797e-13
3,1884,14.999889964,94.200000000000005229,6.94929e-16,1.8234e-16,9.63364e-14,2.22499e-13
4,2512,19.9998532853,125.60000000000000697,6.07359e-17,4.74356e-18,1.12038e-13,2.58504e-13
5,3140,24.9998166066,157.00000000000000872,5.01691e-16,6.4187e-17,1.24544e-13,2.87045e-13
6,3768,29.9997799279,188.40000000000001046,1.57552e-16,8.75634e-17,1.39414e-13,3.21231e-13
7,4396,34.9997432492,219.8000000000000122,6.5682e-16,5.16963e-17,1.57598e-13,3.62949e-13
8,5024,39.9997065706,251.20000000000001394,8.28264e-16,3.99055e-16,1.33291e-13,3.06558e-13
9,5652,44.9996698919,282.60000000000001569,6.03063e-16,2.90438e-16,9.81764e-14,2.25468e-13
10,6280,49.9996332132,314.00000000000001743,7.74879e-16,3.15705e-16,8.17675e-14,1.87556e-13
11,6908,54.9995965345,345.40000000000001917,3.66331e-16,5.71755e-17,7.8847e-14,1.80713e-13
12,7536,59.9995598559,376.80000000000002092,1.13208e-15,1.6446e-16,1.29835e-13,2.9859e-13
13,8164,64.9995231772,408.20000000000002266,8.37844e-16,1.11766e-16,2.28103e-13,5.25871e-13
14,8792,69.9994864985,439.6000000000000244,7.21762e-16,1.42243e-16,3.03907e-13,7.0083e-13
15,9420,74.9994498198,471.00000000000002615,1.24948e-15,2.28909e-16,3.85052e-13,8.8847e-13
16,10048,79.9994131411,502.40000000000002789,7.15167e-16,2.06761e-16,4.639e-13,1.0705e-12
17,10676,84.9993764625,533.80000000000002963,1.02406e-15,2.11208e-16,5.32231e-13,1.22809e-12
18,11304,89.9993397838,565.20000000000003137,1.32152e-15,2.67807e-16,6.03645e-13,1.39303e-12
19,11932,94.9993031051,596.60000000000003312,3.89574e-16,6.16738e-17,6.43056e-13,1.48372e-12
20,12560,99.9992664264,628.00000000000003486,2.8049e-16,7.18604e-17,6.65288e-13,1.53502e-12
21,13188,104.999229748,659.4000000000000366,3.50516e-16,6.34235e-17,6.83975e-13,1.57821e-12
22,13816,109.999193069,690.80000000000003835,1.09149e-15,9.41919e-17,7.13677e-13,1.64677e-12
23,14444,114.99915639,722.20000000000004009,1.26582e-15,1.27346e-16,7.99369e-13,1.84443e-12
24,15072,119.999119712,753.60000000000004183,1.0095e-15,3.26429e-17,9.21884e-13,2.1272e-12
25,15700,124.999083033,785.00000000000004358,1.69393e-15,4.16827e-17,1.02319e-12,2.36085e-12
26,16328,129.999046354,816.40000000000004532,1.10621e-15,2.17691e-16,1.13031e-12,2.60781e-12
27,16956,134.999009676,847.80000000000004706,7.08379e-16,2.93654e-16,1.19735e-12,2.76255e-12
28,17584,139.998972997,879.20000000000004881,8.07305e-16,3.29058e-16,1.2374e-12,2.85503e-12
29,18212,144.998936318,910.60000000000005055,2.77499e-16,4.2496e-16,1.29087e-12,2.97857e-12
30,18840,149.99889964,942.00000000000005229,3.11207e-16,3.99457e-16,1.30833e-12,3.01888e-12
31,19468,154.998862961,973.40000000000005403,7.81028e-17,4.69627e-16,1.30685e-12,3.0156e-12
32,20096,159.998826282,1004.8000000000000558,7.02586e-16,2.37602e-16,1.31915e-12,3.04418e-12
33,20724,164.998789604,1036.2000000000000575,8.10641e-16,1.62613e-16,1.38398e-12,3.1941e-12
34,21352,169.998752925,1067.6000000000000593,1.26838e-15,8.8346e-17,1.49286e-12,3.44566e-12
35,21980,174.998716246,1099.000000000000061,4.312e-16,1.89099e-16,1.5789e-12,3.64432e-12
36,22608,179.998679568,1130.4000000000000627,1.54738e-15,6.87724e-17,1.66536e-12,3.84346e-12
37,23236,184.998642889,1161.8000000000000645,1.29829e-15,1.55962e-18,1.74643e-12,4.03096e-12
38,23864,189.99860621,1193.2000000000000662,6.60718e-16,1.24162e-16,1.81036e-12,4.17859e-12
39,24492,194.998569532,1224.600000000000068,5.56937e-16,1.43925e-17,1.86417e-12,4.30305e-12
40,25120,199.998532853,1256.0000000000000697,6.26626e-16,1.10593e-17,1.90405e-12,4.39464e-12
