sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,730,19.9863107461,7300.0,9.74181e-35,4.38581e-35,0.0,0.0
2,1460,39.9726214921,14600.0,6.40882e-35,2.35626e-35,0.0,0.0
3,2190,59.9589322382,21900.0,1.14995e-35,4.03587e-36,0.0,0.0
4,2920,79.9452429843,29200.0,1.77088e-34,7.31945e-35,0.0,0.0
5,3650,99.9315537303,36500.0,8.42415e-36,4.31707e-36,0.0,0.0
6,4380,119.917864476,43800.0,2.15988e-34,7.31725e-35,0.0,0.0
7,5110,139.904175222,51100.0,4.69382e-35,1.36104e-35,0.0,0.0
8,5840,159.890485969,58400.0,7.37442e-35,1.88713e-35,0.0,0.0
9,6570,179.876796715,65700.0,1.61055e-34,5.37392e-35,0.0,0.0
10,7300,199.863107461,73000.0,1.08637e-34,3.25442e-35,0.0,0.0
11,8030,219.849418207,80300.0,3.51779e-35,7.65082e-37,0.0,0.0
12,8760,239.835728953,87600.0,9.1873e-35,4.6136e-35,0.0,0.0
13,9490,259.822039699,94900.0,1.29937e-35,1.87129e-35,0.0,0.0
14,10220,279.808350445,102200.0,7.24144e-35,5.60373e-35,0.0,0.0
15,10950,299.794661191,109500.0,6.16932e-35,3.59308e-36,0.0,0.0
16,10958,300.013689254,109580.0,2.09e-34,6.7564e-35,0.0,0.0
