sample,step,orbits,t,rel_energy_err,rel_angmom_err,rel_pos_err,rel_vel_err
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,365,39.9726214921,14600.0,1.15418e-31,1.19804e-33,0.0,0.0
2,730,79.9452429843,29200.0,8.33097e-32,2.34467e-33,0.0,0.0
3,1095,119.917864476,43800.0,1.14167e-31,3.74931e-33,0.0,0.0
4,1460,159.890485969,58400.0,1.27932e-31,4.8823e-33,0.0,0.0
5,1825,199.863107461,73000.0,1.32771e-31,6.08579e-33,0.0,0.0
6,2190,239.835728953,87600.0,1.50979e-31,7.4239e-33,0.0,0.0
7,2555,279.808350445,102200.0,1.56251e-31,8.56287e-33,0.0,0.0
8,2920,319.780971937,116800.0,1.68598e-31,9.91368e-33,0.0,0.0
9,3285,359.753593429,131400.0,1.77565e-31,1.11325e-32,0.0,0.0
10,3650,399.726214921,146000.0,1.868e-31,1.23176e-32,0.0,0.0
11,4015,439.698836413,160600.0,1.97939e-31,1.38004e-32,0.0,0.0
12,4380,479.671457906,175200.0,2.06716e-31,1.49554e-32,0.0,0.0
13,4745,519.644079398,189800.0,2.16535e-31,1.62371e-32,0.0,0.0
14,5110,559.61670089,204400.0,2.28155e-31,1.77559e-32,0.0,0.0
15,5475,599.589322382,219000.0,2.37062e-31,1.89243e-32,0.0,0.0
16,5840,639.561943874,233600.0,2.48231e-31,2.03768e-32,0.0,0.0
17,6205,679.534565366,248200.0,2.59289e-31,2.18155e-32,0.0,0.0
18,6570,719.507186858,262800.0,2.68497e-31,2.30208e-32,0.0,0.0
19,6935,759.47980835,277400.0,2.80858e-31,2.46275e-32,0.0,0.0
20,7300,799.452429843,292000.0,2.91012e-31,2.59458e-32,0.0,0.0
21,7665,839.425051335,306600.0,3.0061e-31,2.72002e-32,0.0,0.0
22,8030,879.397672827,321200.0,3.13133e-31,2.88314e-32,0.0,0.0
23,8395,919.370294319,335800.0,3.22726e-31,3.00779e-32,0.0,0.0
24,8760,959.342915811,350400.0,3.33165e-31,3.14365e-32,0.0,0.0
25,9125,999.315537303,365000.0,3.44803e-31,3.29596e-32,0.0,0.0
26,9490,1039.2881588,379600.0,3.54058e-31,3.41685e-32,0.0,0.0
27,9855,1079.26078029,394200.0,3.65553e-31,3.56781e-32,0.0,0.0
28,10220,1119.23340178,408800.0,3.76046e-31,3.70406e-32,0.0,0.0
29,10585,1159.20602327,423400.0,3.85279e-31,3.82473e-32,0.0,0.0
30,10950,1199.17864476,438000.0,3.97535e-31,3.98517e-32,0.0,0.0
31,10958,1200.05475702,438320.0,3.97681e-31,3.98712e-32,0.0,0.0
